id,lon,lat,주차장,주정차,sumpark_sl,sumhouse_n,count,대중교?,sumbd_area,count_1,가점1,가점2,가점3,ADM_DR_NM,sum인구?,area,인구밀?,등록대?,경도_sum,위도_sum,주차원단위,법정원단위,가점4,순위
"394",129.09400,35.14259,"0",0.00000,,0.00000,6.00000,"0",,,"0","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",129.095300,35.143170,0.954140,0.390400,"6","315"
"395",129.09400,35.14039,"1",0.00000,2.00000,0.00000,16.00000,"0",811.8800000000001091,4.0000000000000000,"1","1","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",774.557100,210.840970,5.158590,3.569210,"14","282"
"396",129.09400,35.13819,"17",5.00000,132.00000,1204.00000,73.00000,"0",13128.1200000000008004,28.0000000000000000,"7","6","1",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",4776.456500,1300.108560,31.870260,23.696030,"49","47"
"421",129.09670,35.16022,"0",0.00000,,0.00000,2.00000,"0",,,"0","2","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",,,,,"0","330"
"422",129.09670,35.15802,"0",0.00000,,,,"0",,,"0","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",,,,,"0","334"
"423",129.09670,35.15581,"0",0.00000,,,,"0",,,"0","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",,,,,"0","334"
"424",129.09670,35.15361,"0",0.00000,,,,"0",,,"0","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",,,,,"0","334"
"425",129.09670,35.15141,"0",0.00000,,,,"0",,,"0","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",,,,,"0","334"
"426",129.09670,35.14920,"2",0.00000,31.00000,0.00000,6.00000,"0",8480.3800000000010186,3.0000000000000000,"5","1","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",645.481100,175.744010,4.156950,2.843620,"0","283"
"427",129.09670,35.14700,"16",19.00000,108.00000,58.00000,103.00000,"0",14177.6000000000003638,74.0000000000000000,"3","16","2",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",10327.715400,2811.776260,65.972140,44.708310,"80","176"
"428",129.09670,35.14480,"4",2.00000,119.00000,0.00000,6.00000,"0",1017.7999999999999545,3.0000000000000000,"0","5","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",516.387500,140.579320,3.235250,2.158150,"1","279"
